Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	Unmodified Rewards Mean	Unmodified Rewards Std	Modified Rewards Mean	Modified Rewards Std	Log Likelihood Mean	Log Likelihood Std	KL Divergence Mean	KL Divergence Std	Negative ELBo	TimestepsThisBatch	TimestepsSoFar
171.850954056	66	81.870056	25.090979	118.53921	18.830507	21.0	0.0	3.8985744	3.8985744	3.9023182	3.9023182	-0.66779935	0.23530881	0.19622459	0.4204085	0.68742186	1008	67536
174.177724123	67	82.29274	21.522243	118.28847	18.816032	21.0	0.0	3.9187016	3.9187016	3.9191105	3.9191105	-0.6894793	0.075267226	0.05388137	0.29191723	0.6948675	1008	68544
176.499089003	68	85.571144	20.905167	127.888824	38.73828	21.0	0.0	4.074816	4.074816	4.0774727	4.0774727	-0.6716658	0.11972985	0.13299762	0.4828282	0.6849655	1008	69552
179.120222092	69	79.75266	22.784275	118.7631	8.930694	21.0	0.0	3.7977462	3.7977462	3.7982519	3.7982519	-0.68654865	0.091093585	0.03765337	0.15941212	0.690314	1008	70560
181.607533216	70	83.11224	20.924107	128.1187	19.347372	21.0	0.0	3.957726	3.957726	3.9604704	3.9604704	-0.662762	0.14257374	0.18054509	0.578028	0.68081653	1008	71568
183.983922005	71	82.65247	20.881674	118.41303	9.224172	21.0	0.0	3.9358323	3.9358323	3.9360187	3.9360187	-0.69585997	0.035591967	0.009813314	0.04086509	0.69684124	1008	72576
186.314683199	72	77.28873	17.682629	118.47589	39.01151	21.0	0.0	3.6804154	3.6804154	3.6804824	3.6804824	-0.6929601	0.018824024	0.0022195748	0.0103315925	0.69318205	1008	73584
188.792282104	73	81.216545	23.059368	127.88731	28.99306	21.0	0.0	3.8674543	3.8674543	3.8675265	3.8675265	-0.69183946	0.006210102	0.00027545737	0.0008893944	0.69186693	1008	74592
191.135258198	74	82.4766	20.122278	128.30597	48.75514	21.0	0.0	3.927457	3.927457	3.9275842	3.9275842	-0.69411373	0.011592564	0.000462091	0.0010144694	0.69416	1008	75600
193.455986023	75	79.61328	18.633612	128.3628	19.242365	21.0	0.0	3.7911086	3.7911086	3.7910523	3.7910523	-0.69315743	0.0064152447	0.00015142976	0.0004499564	0.6931726	1008	76608
195.766287088	76	80.05684	18.81553	118.643814	38.94622	21.0	0.0	3.81223	3.81223	3.8122947	3.8122947	-0.6932368	0.004940254	5.5001983e-05	0.000115270406	0.6932423	1008	77616
198.143786192	77	76.68842	19.294146	108.670494	19.337723	21.0	0.0	3.6518297	3.6518297	3.6518228	3.6518228	-0.6919983	0.0060831727	0.0001273797	0.0008011327	0.69201106	1008	78624
200.680356026	78	72.827065	21.381298	118.7838	19.197178	21.0	0.0	3.4679556	3.4679556	3.4679923	3.4679923	-0.693013	0.0026802076	2.5399191e-05	4.33899e-05	0.6930155	1008	79632
203.14068222	79	75.72998	17.808483	108.779976	39.07066	21.0	0.0	3.6061893	3.6061893	3.6062884	3.6062884	-0.6936037	0.0059401584	1.62527e-05	2.9625045e-05	0.6936053	1008	80640
205.544234991	80	70.0913	19.349867	118.61661	28.762892	21.0	0.0	3.3376808	3.3376808	3.3376925	3.3376925	-0.6931683	0.002854172	1.06988355e-05	1.183879e-05	0.69316924	1008	81648
207.957967997	81	73.6706	24.097046	108.82958	-0.6343484	21.0	0.0	3.5081239	3.5081239	3.5080574	3.5080574	-0.6930824	0.005668151	4.2411273e-05	5.31915e-05	0.6930867	1008	82656
210.495901108	82	74.50518	22.843435	118.59024	19.324562	21.0	0.0	3.5478656	3.5478656	3.5479877	3.5479877	-0.69357467	0.0028462473	9.968851e-06	3.8334652e-05	0.69357574	1008	83664
212.92061305	83	71.990456	21.302431	108.69221	19.072372	21.0	0.0	3.428117	3.428117	3.4280345	3.4280345	-0.69323564	0.0039143157	2.5353445e-05	2.49563e-05	0.69323814	1008	84672
215.305051088	84	70.14341	21.143988	108.8224	29.091972	21.0	0.0	3.3401623	3.3401623	3.3401747	3.3401747	-0.69336474	0.0018117909	6.359328e-06	2.3854e-05	0.69336534	1008	85680
217.6428442	85	68.34896	22.75973	98.83089	-0.57364035	21.0	0.0	3.2547123	3.2547123	3.254677	3.254677	-0.69335425	0.0020577288	4.21878e-06	5.9901254e-06	0.6933547	1008	86688
220.090831995	86	72.259735	24.059261	108.79693	-0.6558074	21.0	0.0	3.4409394	3.4409394	3.440924	3.440924	-0.69327664	0.001040469	3.289048e-06	7.009289e-06	0.69327694	1008	87696
222.620889187	87	68.94393	23.14575	108.954605	-0.68985164	21.0	0.0	3.2830446	3.2830446	3.2831655	3.2831655	-0.69315875	0.002919858	1.4704025e-05	2.401583e-05	0.6931602	1008	88704
225.004108191	88	65.02399	26.1932	108.945366	-0.6275081	21.0	0.0	3.0963802	3.0963802	3.0964093	3.0964093	-0.6930692	0.0010249501	2.6385292e-06	6.174762e-06	0.69306946	1008	89712
227.383131027	89	67.11599	25.353281	108.80801	19.360659	21.0	0.0	3.1959999	3.1959999	3.1959784	3.1959784	-0.6932289	0.0021187214	5.139641e-06	3.6274123e-06	0.69322944	1008	90720
229.786309004	90	65.61994	20.759493	108.984276	19.165298	21.0	0.0	3.124759	3.124759	3.1246889	3.1246889	-0.6931675	0.00320343	1.8065854e-05	4.520273e-05	0.6931693	1008	91728
232.389486074	91	65.02091	25.434372	108.59451	-0.8092253	21.0	0.0	3.0962338	3.0962338	3.0961926	3.0961926	-0.69276524	0.0022518018	2.7365209e-06	3.54937e-06	0.6927656	1008	92736
234.821019173	92	61.070553	19.468328	98.90561	-0.77130175	21.0	0.0	2.9081216	2.9081216	2.9082243	2.9082243	-0.69296587	0.0025621918	6.8453014e-06	2.0360472e-05	0.6929665	1008	93744
237.240099192	93	58.183	24.778135	99.03111	-0.6864598	21.0	0.0	2.7706187	2.7706187	2.7706172	2.7706172	-0.69319355	0.0005208614	1.0593405e-06	1.1573792e-06	0.6931937	1008	94752
239.627946138	94	58.377026	27.756083	128.58572	-0.8109297	21.0	0.0	2.7798586	2.7798586	2.779821	2.779821	-0.6932755	0.0018508139	5.078165e-06	2.0542168e-06	0.6932761	1008	95760
242.286797047	95	62.12862	21.31532	108.71838	-0.4223094	21.0	0.0	2.9585059	2.9585059	2.9584935	2.9584935	-0.69309855	0.0006139811	6.993396e-07	2.2151448e-07	0.69309866	1008	96768
244.807130098	96	58.181854	25.012712	118.76775	-0.5492884	21.0	0.0	2.7705646	2.7705646	2.7705355	2.7705355	-0.69336784	0.0013016466	4.883116e-06	1.0319867e-06	0.6933683	1008	97776
247.372480154	97	59.660473	29.530415	108.82263	-0.68345577	21.0	0.0	2.8409748	2.8409748	2.840907	2.840907	-0.6930243	0.0010693904	3.3594988e-06	5.3272794e-07	0.69302464	1008	98784
249.791411161	98	52.832813	23.725355	98.73164	-0.7702135	21.0	0.0	2.5158486	2.5158486	2.5157762	2.5157762	-0.69336	0.006742679	5.2176507e-05	1.5132554e-05	0.6933652	1008	99792
252.077767134	99	56.368732	26.539646	118.55382	-0.55868256	21.0	0.0	2.6842253	2.6842253	2.6842804	2.6842804	-0.69300514	0.003314777	1.3513473e-05	6.461106e-06	0.6930065	1008	100800
